input_gain,input_phase,output_gain,output_phase
31,0,-19.4,-155
31,1,-19.1,-147
31,2,-18.8,-135
31,3,-19,-127
31,4,-18.5,-117
31,5,-18.3,-110
31,6,-18.4,-100
31,7,-18.5,-92
31,8,-17.9,-85
31,9,-18.1,-81
31,10,-18.4,-70
31,11,-18.8,-62
31,12,-18.6,-50
31,13,-18.9,-43
31,14,-19.3,-32
31,15,-19.9,-25
31,16,-19.5,-10
31,17,-19.8,-2
31,18,-20.4,12
31,19,-21.2,21
31,20,-21.6,37
31,21,-21.8,48
31,22,-22.4,66
31,23,-23.3,79
31,24,-22.6,92
31,25,-23,105
31,26,-22.9,125
31,27,-23.1,137
31,28,-21.8,155
31,29,-21,167
31,30,-21.3,-179
31,31,-21.2,-168
30,0,-18.3,-158
30,1,-18,-149
30,2,-17.9,-136
30,3,-18,-128
30,4,-17.6,-118
30,5,-17.4,-111
30,6,-17.4,-100
30,7,-17.6,-92
30,8,-17,-85
30,9,-17.4,-79
30,10,-17.5,-68
30,11,-17.9,-61
30,12,-17.8,-48
30,13,-17.9,-41
30,14,-18.4,-30
30,15,-19,-23
30,16,-18.4,-8
30,17,-18.7,0
30,18,-19.4,14
30,19,-20.1,24
30,20,-20.3,39
30,21,-20.5,49
30,22,-21.2,68
30,23,-22,80
30,24,-21.2,92
30,25,-21.5,105
30,26,-21.4,124
30,27,-22,136
30,28,-20.9,153
30,29,-20.4,164
30,30,-20.2,179
30,31,-20,-170
29,0,-17.4,-157
29,1,-17.2,-149
29,2,-17,-137
29,3,-17.2,-128
29,4,-16.9,-118
29,5,-16.6,-110
29,6,-16.7,-99
29,7,-16.9,-92
29,8,-16.2,-84
29,9,-16.4,-78
29,10,-16.5,-67
29,11,-17.1,-60
29,12,-16.8,-48
29,13,-17,-40
29,14,-17.6,-29
29,15,-18.1,-20
29,16,-17.4,-6
29,17,-17.7,2
29,18,-18.3,15
29,19,-19,25.5
29,20,-19.2,40
29,21,-19.4,51
29,22,-20.1,68
29,23,-20.6,81
29,24,-19.9,93
29,25,-20.2,105
29,26,-20.1,123
29,27,-20.7,135
29,28,-19.4,152
29,29,-19.4,163
29,30,-19.2,178
29,31,-19.3,-171
28,0,-16.5,-159
28,1,-16.4,-152
28,2,-16.2,-139
28,3,-16.4,-130
28,4,-16,-120
28,5,-15.8,-112
28,6,-15.9,-101
28,7,-16,-93
28,8,-15.5,-86
28,9,-15.7,-79
28,10,-15.8,-68
28,11,-16.3,-61
28,12,-16.1,-49
28,13,-16.3,-41
28,14,-16.8,-29
28,15,-17.2,-22
28,16,-16.5,-8
28,17,-16.8,1
28,18,-17.3,15
28,19,-17.9,25
28,20,-18.2,40
28,21,-18.2,51
28,22,-18.7,67
28,23,-19.1,80
28,24,-18.4,92
28,25,-18.7,103
28,26,-18.8,121
28,27,-19.2,132
28,28,-18.3,150
28,29,-18.2,160
28,30,-18.1,175
28,31,-18.2,-174
27,0,-15.6,-161
27,1,-15.3,-152
27,2,-15.3,-140
27,3,-15.5,-131
27,4,-15.1,-120
27,5,-15,-112
27,6,-15.1,-101
27,7,-15.3,-93
27,8,-14.8,-85
27,9,-14.8,-79
27,10,-15,-67
27,11,-15.5,-61
27,12,-15.1,-48
27,13,-15.4,-40
27,14,-15.8,-29
27,15,-16.3,-20
27,16,-15.5,-5
27,17,-15.8,2
27,18,-16.2,17
27,19,-16.9,26
27,20,-16.7,41
27,21,-16.8,51
27,22,-17.5,68
27,23,-17.8,80
27,24,-17.1,92
27,25,-17.5,103
27,26,-17.5,120
27,27,-18,131
27,28,-17,148
27,29,-17,159
27,30,-17.1,174
27,31,-17.3,-175
26,0,-14.6,-162
26,1,-14.2,-154
26,2,-14.2,-141
26,3,-14.4,-132
26,4,-14,-121
26,5,-13.9,-113
26,6,-14,-102
26,7,-14.1,-94
26,8,-13.5,-86
26,9,-13.7,-79
26,10,-13.9,-68
26,11,-14.3,-60
